Bathrooms,Bedrooms,Fireplaces Total,Lot Square Footage,Parking Covered Total,Square Footage,Square Footage Unfinished,Year Built,Age,Original Price,City,Selling Price
1.75,4,0,8290,0,1970,0,1954,67,849000,5,750000
1.75,3,0,27878,2,1250,0,1954,67,1000000,1,850000
1.75,3,1,9500,2,1280,0,1955,66,650000,1,607500
1.75,4,2,11250,0,1700,0,1955,66,700000,1,635000
1.75,4,2,8250,1,1910,0,1955,66,650000,1,690000
1.75,4,2,11250,1,1700,0,1955,66,724900,1,695000
1.75,3,1,10600,2,1200,0,1955,66,599000,1,730000
1.75,5,1,9638,0,2800,770,1955,66,725000,1,735000
1.75,4,2,18794,1,1870,0,1955,66,750000,1,735000
1.75,4,2,9703,1,1670,0,1955,66,750000,1,770000
1.75,4,1,9250,1,1840,0,1955,66,795000,1,795000
1.75,4,1,9814,0,1290,0,1955,66,874950,1,799950
1.75,4,1,10440,1,1790,0,1955,66,775000,1,800000
1.75,3,2,37032,2,2200,0,1955,66,775000,1,800000
1.75,4,2,8000,1,1548,0,1955,66,839000,1,839000
1.75,3,2,9000,1,1750,0,1955,66,849000,1,850000
1.75,5,1,13433,1,2540,0,1955,66,899900,1,860000
1.75,5,2,12325,2,2440,0,1955,66,1050000,1,975000
1.75,3,2,13068,2,2300,0,1955,66,1550000,1,1495000
1.75,4,2,8910,1,1760,0,1955,66,679900,1,655000
1.75,3,2,14590,2,1980,0,1955,66,739000,1,730000
1.75,3,1,8099,2,1749,0,1955,66,775000,1,755000
1.75,4,0,8840,1,1430,0,1955,66,779000,1,780000
1.75,2,2,6930,1,1447,0,1955,66,850000,1,835000
1.75,2,1,13067,2,1725,0,1956,65,1250000,1,1250000
1.75,4,1,7592,1,2020,0,1956,65,1200000,1,1270000
1.75,4,2,15856,3,3100,1090,1956,65,1580000,1,1600000
1.75,4,2,7665,1,2020,0,1956,65,750000,1,770000
1.75,4,1,11340,0,2158,0,1956,65,799999,1,714999
1.75,3,0,8640,2,1520,0,1956,65,799950,1,718000
1.75,3,1,8276,1,1600,0,1956,65,700000,1,765000
1.75,5,2,7840,1,2090,0,1956,65,825000,1,820000
1.75,2,1,10349,2,2340,0,1956,65,1488000,1,1493000
1.75,4,2,7208,2,2230,0,1957,64,1298000,1,1100000
1.75,3,2,10150,3,1720,0,1957,64,668899,1,732500
1.75,3,2,9492,2,1637,0,1957,64,695000,1,765000
1.75,3,2,8583,2,1650,0,1957,64,775000,1,766500
1.75,3,1,10670,2,2015,0,1957,64,799000,1,780000
1.75,3,1,7371,2,1830,0,1957,64,768000,1,808000
1.75,3,2,9525,2,1893,0,1957,64,925000,1,830000
1.75,2,1,10250,2,1820,0,1957,64,875000,1,1010000
1.75,3,2,10535,2,1920,0,1958,63,820000,1,850000
1.75,3,2,9600,2,2250,500,1958,63,1250000,1,1473000
1.75,3,1,12036,1,1330,0,1958,63,1375000,1,1556000
